"Step","floral-wave-1 - eval/loss","floral-wave-1 - eval/loss__MIN","floral-wave-1 - eval/loss__MAX"
"1","0.13228484988212585","0.13228484988212585","0.13228484988212585"
"4","0.03545461222529411","0.03545461222529411","0.03545461222529411"
"7","0.013692231848835945","0.013692231848835945","0.013692231848835945"
"9","0.005207865498960018","0.005207865498960018","0.005207865498960018"
"12","0.0027849641628563404","0.0027849641628563404","0.0027849641628563404"
"15","0.001983526162803173","0.001983526162803173","0.001983526162803173"
"17","0.001429424388334155","0.001429424388334155","0.001429424388334155"
"20","0.0010435908334329724","0.0010435908334329724","0.0010435908334329724"
"23","0.0006508931401185691","0.0006508931401185691","0.0006508931401185691"
"25","0.0005967154284007847","0.0005967154284007847","0.0005967154284007847"
"28","0.0004967416170984507","0.0004967416170984507","0.0004967416170984507"
"31","0.00030430423794314265","0.00030430423794314265","0.00030430423794314265"
"33","0.00028144949465058744","0.00028144949465058744","0.00028144949465058744"
"36","0.00024893356021493673","0.00024893356021493673","0.00024893356021493673"
"39","0.0001619864342501387","0.0001619864342501387","0.0001619864342501387"
"41","0.0002356221666559577","0.0002356221666559577","0.0002356221666559577"
"44","0.00013766995107289404","0.00013766995107289404","0.00013766995107289404"
"47","0.00012219995551276952","0.00012219995551276952","0.00012219995551276952"
"49","0.00013647710147779435","0.00013647710147779435","0.00013647710147779435"
"52","0.00010126952111022547","0.00010126952111022547","0.00010126952111022547"
"55","0.000052684703405248","0.000052684703405248","0.000052684703405248"
"57","0.00006208707782207057","0.00006208707782207057","0.00006208707782207057"
"60","0.0000370733359886799","0.0000370733359886799","0.0000370733359886799"
"63","0.00007487765105906874","0.00007487765105906874","0.00007487765105906874"
"65","0.00003537106022122316","0.00003537106022122316","0.00003537106022122316"
"68","0.000042992931412300095","0.000042992931412300095","0.000042992931412300095"
"71","0.0000700502932886593","0.0000700502932886593","0.0000700502932886593"
"73","0.000021360281607485376","0.000021360281607485376","0.000021360281607485376"
"76","0.0000458811191492714","0.0000458811191492714","0.0000458811191492714"
"79","0.00003675882544484921","0.00003675882544484921","0.00003675882544484921"
"81","0.000021314628611435182","0.000021314628611435182","0.000021314628611435182"
"84","0.00004454974259715527","0.00004454974259715527","0.00004454974259715527"
"87","0.00002773331470962148","0.00002773331470962148","0.00002773331470962148"
"89","0.00003507465589791536","0.00003507465589791536","0.00003507465589791536"
"92","0.000013113629393046722","0.000013113629393046722","0.000013113629393046722"
"95","0.00001202099520014599","0.00001202099520014599","0.00001202099520014599"
"97","0.000010949354873446282","0.000010949354873446282","0.000010949354873446282"
"100","0.000028534586817841046","0.000028534586817841046","0.000028534586817841046"
"103","0.000011231148164370097","0.000011231148164370097","0.000011231148164370097"
"105","0.000054904059652471915","0.000054904059652471915","0.000054904059652471915"
"108","0.000009907392268360127","0.000009907392268360127","0.000009907392268360127"
"111","0.000007837134035071358","0.000007837134035071358","0.000007837134035071358"
"113","0.000009349299034511205","0.000009349299034511205","0.000009349299034511205"
"116","0.000022602482204092667","0.000022602482204092667","0.000022602482204092667"
"119","0.000008999906640383415","0.000008999906640383415","0.000008999906640383415"
"121","0.000010404282875242643","0.000010404282875242643","0.000010404282875242643"
"124","0.000007538922091043787","0.000007538922091043787","0.000007538922091043787"
"127","0.000013861862498742994","0.000013861862498742994","0.000013861862498742994"
"129","0.0000053689805099566","0.0000053689805099566","0.0000053689805099566"
"132","0.00001981715286092367","0.00001981715286092367","0.00001981715286092367"
"135","0.000004456590431800578","0.000004456590431800578","0.000004456590431800578"
"137","0.0000054491574701387435","0.0000054491574701387435","0.0000054491574701387435"
